32,6,58449,43079,85494,40641,68,74,74788,110619,721,788,1
19,28,49947,64231,63398,94905,82,65,115674,99795,680,805,0
7,17,44840,57729,38017,46174,69,74,68364,59018,860,863,0
12,29,44995,61930,62490,81214,65,47,103534,95348,788,861,0
26,9,58065,40681,87346,63424,78,64,104533,109345,753,664,1
37,13,61135,45318,81598,63314,68,63,91128,99197,766,716,1
31,23,71762,62091,90133,85912,76,112,123084,116977,978,959,1
7,32,35331,47327,44178,66260,67,68,86353,68827,598,612,0
14,26,53237,68124,60076,95583,99,98,114948,101741,891,939,0
4,27,25237,43285,32503,53486,42,53,64963,52780,432,619,0
23,14,52255,38652,54564,58784,75,68,84455,74868,770,630,1
39,18,61315,44599,107887,79258,72,81,111044,125831,769,590,1
10,16,45859,57517,49291,54724,84,91,74566,87817,860,788,0
16,30,53108,62485,83013,96659,81,85,127798,105285,899,836,0
44,29,71849,60635,135815,115060,109,82,163190,162993,805,861,1
26,14,42930,34603,45504,44251,64,55,62208,61123,606,600,1
29,9,47935,33587,63125,39636,54,59,69053,75876,671,501,1
20,31,50239,63383,79703,83206,115,99,105010,102579,755,829,0
14,34,45407,53755,73460,80680,70,78,101839,108775,700,655,0
27,15,81161,69375,111443,84876,124,118,124016,143842,1232,1131,1
14,23,42986,52912,68994,75452,72,75,99875,94212,681,659,0
17,13,43507,37147,49442,58813,62,62,81318,68765,631,612,1
21,30,65049,69776,119174,102201,109,100,131658,151620,999,1057,0
13,23,36574,48048,50423,65082,67,49,80016,71706,540,618,0
44,30,72628,62007,143816,102220,88,104,128515,171090,819,833,1
22,7,43086,26792,53249,41681,39,36,69111,72195,555,432,1
25,33,68690,78490,121198,124994,106,121,156270,155954,1053,1035,0
13,27,39637,46092,61480,71808,70,84,91571,87818,668,630,0
12,28,45993,55930,70378,82230,60,79,105945,97217,747,777,0
30,22,68519,67786,94738,82553,114,124,122816,122128,1087,957,0
39,34,95220,88030,141412,138032,113,133,175786,170634,1299,1156,1
38,26,59001,53417,108421,116347,79,76,155955,135636,696,701,1
35,35,82931,84598,132518,162556,97,122,202079,177492,1213,1170,0
30,20,68120,52368,96912,59161,105,100,83117,123791,919,810,1
21,7,47108,35427,63302,40462,62,49,65164,80595,597,611,1
14,32,38739,51877,41976,70336,68,52,88408,64660,564,567,0
20,25,47296,56966,61323,76489,83,81,99818,87601,740,778,0
39,22,61928,47560,92276,67994,92,72,96928,106974,746,635,1
24,15,69313,59943,99468,91311,96,116,135188,122657,1017,922,1
9,27,40642,54385,50339,68566,63,76,87784,79767,728,98,0
23,37,51113,63559,108856,109900,76,69,129895,139395,746,855,0
21,18,59160,50022,83878,79843,78,71,115938,103658,856,711,1
30,33,71305,81718,116254,131181,124,97,163509,150494,1065,1027,0
11,23,41660,52106,62078,87343,68,77,109927,89233,666,659,0
33,34,75790,77627,134626,143093,101,98,173827,170209,1192,1054,0
28,32,85168,80425,134230,117602,143,113,150848,165274,1237,1107,1
10,24,42314,51781,54969,62885,64,69,80690,75374,708,649,0
24,27,68346,75809,126848,120567,124,111,148060,172702,1047,1071,0
27,36,51207,63754,71431,90105,82,82,109335,108958,684,837,0
21,23,53938,59641,88552,77992,96,94,107930,125070,925,852,0
20,9,44265,33793,58409,38138,44,47,67895,71595,678,539,1
33,16,55903,41254,88644,53328,72,76,76228,109867,723,669,1
15,25,44503,55140,75521,74359,72,86,99227,102479,743,757,0
26,11,53431,39481,92375,58095,62,66,86782,110393,735,717,1
14,14,64244,58584,60298,82285,132,110,119737,83540,1112,888,1
33,29,75544,67167,144418,95174,110,107,135125,181648,1005,856,1
21,35,49070,63584,70574,109099,86,74,131575,109513,722,797,0
13,30,49428,60143,59189,73655,88,82,91862,79995,791,771,0
20,12,42325,33865,55741,34411,60,57,59665,70178,643,525,1
7,12,26883,32044,33710,40619,46,45,53250,49025,512,513,0
24,25,57609,64189,88110,92850,88,102,124418,119986,943,922,0
32,14,52727,38312,67401,57990,66,45,85858,85742,725,570,1
31,16,60444,45640,92158,62363,68,73,92770,110977,818,742,1
24,29,51380,58211,79634,102380,68,58,126880,109509,773,715,0
21,22,59416,50842,83308,74522,75,94,108204,110297,802,790,1
32,29,74638,65004,105367,90780,106,92,120635,137981,994,887,1
3,20,21763,35002,27951,43121,43,47,52839,41168,366,467,0
10,16,45859,57517,49291,54724,84,91,74566,87817,860,788,0
27,27,76485,70657,96766,113732,108,91,146069,131522,1002,1060,1
25,25,59361,55906,101461,81203,66,89,111562,129984,758,819,1
38,24,68249,55503,102265,97539,69,72,132658,127737,716,801,1
44,32,73298,59451,157827,127151,83,85,162074,178174,864,787,1
31,37,58225,67714,109807,107510,87,107,131011,132527,764,709,0
36,8,47702,28022,67517,46715,55,34,72310,82008,585,390,1
28,11,51135,33920,76654,49099,56,46,72212,94365,670,540,1
20,24,61755,52148,97977,80985,94,97,106740,136814,861,786,1
32,25,60992,49797,88623,69023,68,71,92868,109257,713,704,1
35,24,64745,56343,121428,111501,84,79,137615,155754,892,776,1
36,20,56045,40969,87223,62024,53,76,86703,104712,653,540,1
36,29,71612,66549,114499,103459,93,81,138029,145711,838,998,1
13,41,44465,62385,71960,85729,70,70,111312,109409,789,745,0
37,24,62449,54089,84729,82065,87,75,105588,109254,778,762,1
13,39,26925,47024,44092,75941,43,48,86526,72012,293,509,0
12,28,45513,60158,65049,82037,72,67,99937,94448,741,804,0
17,42,40200,59545,48461,77207,74,78,94030,72161,542,707,0
8,20,27240,34282,29286,46686,40,42,59935,46000,444,410,0
19,6,32180,23261,32903,24587,28,33,41742,47657,460,407,1
16,4,32197,19505,31353,12158,32,26,28320,40564,388,308,1
9,19,44549,56012,53244,70927,67,80,94982,78162,856,844,0
34,22,62949,54398,91232,73141,72,73,98924,114501,788,826,1
22,36,51928,62777,66515,85350,63,77,101550,96698,686,737,0
16,6,31312,25670,34973,24793,44,44,39182,49493,428,397,1
20,39,52161,60093,66118,87377,71,88,104845,103643,772,752,0
15,6,29223,23249,29354,22755,36,32,40611,41586,444,380,1
25,18,61968,54732,91439,71469,79,80,100959,114029,844,826,1
44,45,104486,101457,196170,160529,186,169,200025,244564,1487,1409,1
14,27,37357,53111,44407,72175,48,54,84952,72468,583,715,0
19,5,35047,23655,43670,30655,37,39,52187,52512,486,374,1
24,41,56389,64035,74815,92076,87,70,117084,108898,726,881,0
20,21,48727,58194,55748,91700,82,64,117778,81108,780,819,0
25,16,59385,44703,89308,57109,79,82,89810,107054,762,740,1
29,20,60239,50882,85356,66915,70,72,94717,106668,699,788,1
16,36,55269,69397,76310,109336,92,93,129559,104854,903,1007,0
26,14,50758,37405,65287,39613,59,63,59078,79208,675,601,1
19,8,34243,25339,37747,20932,32,24,41780,48112,446,374,1
24,38,75210,85371,127653,147234,138,87,178549,168297,1145,1143,0
29,13,61933,46506,70531,54598,69,74,86281,94169,793,835,1
29,17,58664,47552,80412,71101,80,78,105677,103314,816,796,1
27,6,49320,33187,56912,34966,81,64,62242,74920,662,583,1
39,13,63239,49882,95507,73924,79,71,107068,116655,803,796,1
15,34,44520,59699,52796,76480,76,60,89898,77692,636,762,0
6,20,23592,38697,23774,37569,29,41,44868,47034,314,469,0
20,13,44477,37877,51248,47863,51,41,69860,68699,674,644,1
32,33,83617,78611,117395,118125,140,140,150615,146042,1198,1055,1
28,19,52393,39671,65095,45569,58,65,68482,78322,605,540,1
16,20,57423,66803,56519,107389,87,101,131177,88223,914,916,0
24,11,45896,36147,67037,51917,65,51,76385,80098,609,578,1
29,17,60437,48567,99041,70890,77,77,101369,122737,787,716,1
14,6,41816,32192,38727,37175,39,46,54210,55868,535,517,1
18,24,52543,59689,80696,82782,100,71,106662,102926,831,766,0
36,37,89061,85509,170257,151377,135,115,194832,208871,1296,1241,1
17,3,33340,24708,33823,24694,42,33,41141,47502,522,464,1
18,11,58648,52397,73803,65089,89,76,98391,100017,849,862,1
40,31,80101,87597,119203,152652,134,109,190401,158804,1081,1226,0
27,27,65824,67050,90051,79272,124,110,98446,113017,1026,898,0
35,38,71220,77494,122589,141007,115,108,167863,146719,1002,963,0
22,41,48969,62673,77189,90357,74,89,112864,105796,699,733,0
35,32,89938,88837,188579,144938,124,151,185555,218106,1262,1291,1
26,28,64078,56992,98119,86625,91,66,116830,125868,834,878,1
18,23,42598,52358,62423,71286,67,58,93924,90527,672,737,0
25,12,53539,44663,66546,61061,62,51,81644,90892,645,743,1
18,23,54596,61392,77794,83075,72,76,106945,113907,893,886,0
16,6,31781,20765,30882,21107,33,25,34106,37106,411,288,1
13,7,41002,32390,36653,28899,47,66,50376,54302,640,621,1
23,36,64633,71801,105124,125074,90,108,151623,146014,870,985,0
29,22,73003,67568,95763,110202,117,102,147124,120457,1163,1035,1
19,24,55721,65411,87983,72459,77,73,99216,119163,840,980,0
18,25,51034,61315,64791,89618,95,81,110982,92207,767,898,0
14,6,29037,25319,30016,21649,39,37,30625,44416,424,461,1
42,29,75994,64874,119406,110479,72,103,154452,142963,953,1003,1
20,21,52295,53832,64516,80084,86,85,108278,91353,802,811,1
18,7,33790,25760,33814,27698,35,39,41260,43491,444,422,1
23,7,36121,24940,43437,29914,42,41,47524,56012,477,396,1
39,18,70136,51710,98002,77744,75,83,133338,117903,863,818,1
19,42,49554,65417,76407,96317,81,77,118222,97298,749,736,0
19,35,45270,61179,69596,90575,69,75,107362,106329,701,709,0
11,19,54843,65615,50851,74586,102,104,96610,83324,973,1045,0
22,12,45970,38450,52370,51167,53,55,75416,72435,654,646,1
12,34,38124,52021,51440,70349,54,70,86006,75094,593,678,0
28,26,56870,57043,73450,84643,81,70,100051,100178,809,713,1






























